Timestamp,Algorithm,Grammar,String name,String,Characters,Tokens,Outcome,Status,CPUs,Tok/s,Desc,GSS N,GSS E,Pop,SPPF S/I,SPPF P,SPPF E,Ambig,Heap,Heap/tok,Exact,Exact/tok,Tables,Tables/tok,Pool,Pool/tok,H0,H1,H2,H3,H4+
2023-10-29 20:54:49,GLLHashPool,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,Infinity,4878,102,3080,971,840,4240,12280,342,936,44.57,171717,8177.00,65476287,3117918.43,335664,15984.00,25991803,12021,628,34,108,
2023-10-29 20:54:49,GLLBaseLine,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,1400.00,4878,102,3080,971,840,4240,12280,342,1073504,51119.24
2023-10-29 20:54:49,GLLHashPool,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,Infinity,4878,102,3080,971,840,4240,12280,342,936,44.57,171717,8177.00,65476287,3117918.43,335664,15984.00,25991803,12021,628,34,108,
2023-10-29 20:54:50,GLLBaseLine,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,1312.50,4878,102,3080,971,840,4240,12280,342,1073504,51119.24
2023-10-29 20:54:50,GLLHashPool,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,Infinity,4878,102,3080,971,840,4240,12280,342,936,44.57,171717,8177.00,65476287,3117918.43,335664,15984.00,25991803,12021,628,34,108,
2023-10-29 20:54:50,GLLBaseLine,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,1400.00,4878,102,3080,971,840,4240,12280,342,1073504,51119.24
2023-10-29 20:54:51,GLLHashPool,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,Infinity,4878,102,3080,971,840,4240,12280,342,936,44.57,171717,8177.00,65476287,3117918.43,335664,15984.00,25991803,12021,628,34,108,
2023-10-29 20:54:51,GLLBaseLine,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,656.25,4878,102,3080,971,840,4240,12280,342,1073504,51119.24
2023-10-29 20:54:51,GLLHashPool,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,Infinity,4878,102,3080,971,840,4240,12280,342,936,44.57,171717,8177.00,65476287,3117918.43,335664,15984.00,25991803,12021,628,34,108,
2023-10-29 20:54:52,GLLBaseLine,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,1312.50,4878,102,3080,971,840,4240,12280,342,1073504,51119.24
2023-10-29 20:54:52,GLLHashPool,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,Infinity,4878,102,3080,971,840,4240,12280,342,936,44.57,171717,8177.00,65476287,3117918.43,335664,15984.00,25991803,12021,628,34,108,
2023-10-29 20:54:52,GLLBaseLine,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,1312.50,4878,102,3080,971,840,4240,12280,342,1073504,51119.24
2023-10-29 20:54:52,GLLHashPool,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,Infinity,4878,102,3080,971,840,4240,12280,342,936,44.57,171717,8177.00,65476287,3117918.43,335664,15984.00,25991803,12021,628,34,108,
2023-10-29 20:54:53,GLLBaseLine,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,1312.50,4878,102,3080,971,840,4240,12280,342,1073504,51119.24
2023-10-29 20:54:53,GLLHashPool,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,Infinity,4878,102,3080,971,840,4240,12280,342,936,44.57,171717,8177.00,65476287,3117918.43,335664,15984.00,25991803,12021,628,34,108,
2023-10-29 20:54:53,GLLBaseLine,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,1312.50,4878,102,3080,971,840,4240,12280,342,1073504,51119.24
2023-10-29 20:54:54,GLLHashPool,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,Infinity,4878,102,3080,971,840,4240,12280,342,936,44.57,171717,8177.00,65476287,3117918.43,335664,15984.00,25991803,12021,628,34,108,
2023-10-29 20:54:54,GLLBaseLine,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,1400.00,4878,102,3080,971,840,4240,12280,342,1073504,51119.24
2023-10-29 20:54:54,GLLHashPool,..\rhulTests\torture.art,..\rhulTests\b20.str,'bbbbbbbbbb',20,21,Accept,Good,,Infinity,4878,102,3080,971,840,4240,12280,342,936,44.57,171717,8177.00,65476287,3117918.43,335664,15984.00,25991803,12021,628,34,108,
2023-10-29 20:54:55,GLLBaseLine,..\rhulTests\torture.art,..\rhulTests\b30.str,'bbbbbbbbbb',30,31,Accept,Good,,659.57,11053,152,6865,2206,1860,14010,41070,812,2693912,86900.39
